gender,Avg_score
2,60
1,33
1,27
2,80
2,87
1,57
2,78
2,81
2,84
1,58
2,82
2,61
2,68
1,21
2,56
1,30
2,84
1,20
1,41
1,54
2,59
2,55
1,24
2,78
1,21
1,35
2,93
1,65
1,46
2,70
2,93
1,46
2,86
1,23
2,69
2,63
2,74
1,52
2,66
2,87
1,59
1,46
1,48
1,43
1,60
1,59
2,87
1,49
1,39
2,71
1,53
2,52
1,41
1,38
1,33
1,67
1,24
1,43
1,53
1,68
1,48
1,22
2,57
2,59
2,86
2,68
2,92
2,89
2,73
1,28
2,87
2,60
2,69
2,91
2,57
1,35
1,30
1,54
1,66
1,53
2,64
2,68
1,47
1,53
1,26
1,20
2,86
1,50
1,30
1,44
1,43
1,49
2,88
1,39
2,74
1,38
2,69
2,71
2,57
1,63
2,59
2,100
1,31
2,72
2,74
2,91
1,23
2,50
1,39
1,70
2,97
2,80
1,60
2,70
2,84
1,28
1,53
1,54
1,47
1,46
1,41
2,96
1,26
1,25
1,55
1,36
2,74
2,71
1,39
2,68
2,86
2,86
1,20
1,70
1,27
1,68
1,63
1,55
1,64
2,89
2,50
2,62
2,85
2,73
1,53
1,28
2,93
1,31
2,51
2,79
1,56
1,70
1,50
1,35
1,37
1,69
1,40
1,23
2,57
2,76
1,33
2,78
1,24
1,20
2,74
2,62
2,55
1,62
1,20
2,71
2,87
2,99
1,66
2,87
1,66
2,89
1,45
1,59
2,54
2,65
2,52
1,62
2,51
2,83
2,62
1,46
1,44
1,50
1,26
2,57
2,69
2,64
1,69
1,21
1,28
1,33
1,69
1,38
2,94
1,24
2,88
2,94
2,94
1,62
2,66
2,80
1,45
2,68
2,100
1,22
1,55
1,46
2,76
2,78
1,45
2,77
1,69
2,74
1,36
2,58
1,68
2,62
2,87
2,70
2,100
1,25
1,23
1,36
1,24
1,43
2,85
2,57
1,21
1,46
1,38
2,82
2,62
2,67
2,59
1,68
1,51
2,76
1,44
2,100
2,79
1,32
1,34
1,63
2,86
1,60
2,79
2,68
1,29
2,62
2,73
1,27
1,31
2,81
2,77
1,29
2,52
1,69
1,48
1,35
1,37
1,36
2,77
2,60
2,91
1,26
1,58
1,41
1,46
2,78
1,64
2,77
1,46
1,29
2,77
2,57
1,29
1,68
2,72
2,54
1,22
1,58
1,31
2,67
1,60
1,26
2,69
1,67
1,62
2,76
2,84
1,24
1,60
2,80
2,82
2,90
2,70
2,98
2,62
2,73
1,20
1,61
1,49
2,78
1,43
2,74
2,57
2,68
1,63
2,69
2,98
2,79
2,68
1,49
2,71
1,57
2,90
2,71
2,90
1,36
2,87
1,57
1,36
1,51
2,73
2,92
2,74
1,59
2,86
2,59
2,57
2,70
2,96
2,89
1,20
2,57
1,20
1,33
1,22
2,53
2,86
2,92
1,36
1,28
2,63
2,86
1,38
2,98
2,78
1,69
1,27
2,60
2,68
1,45
2,78
2,82
1,68
2,54
1,31
1,68
1,33
1,27
2,54
2,75
1,55
1,32
1,59
2,91
2,54
2,70
2,85
1,64
1,40
1,58
2,64
1,47
1,60
2,97
2,62
2,73
1,49
1,65
1,51
2,75
2,75
1,20
1,58
2,98
1,43
1,50
1,68
2,58
1,31
1,68
2,58
1,48
2,98
1,69
1,36
1,59
2,87
2,81
1,35
2,71
2,88
2,87
2,65
1,63
2,53
2,84
1,53
2,68
2,97
2,79
2,83
1,48
2,95
1,29
1,26
2,66
1,63
1,57
1,52
1,52
1,47
2,88
2,63
1,45
1,43
2,69
1,25
2,97
1,30
1,23
1,58
1,57
2,63
1,67
1,39
1,65
2,66
2,87
2,98
2,78
2,56
2,79
2,62
2,99
2,75
2,81
1,33
1,67
2,80
2,63
2,91
1,32
2,72
2,80
1,53
1,29
2,94
2,97
1,29
1,29
1,43
2,78
2,53
1,26
1,31
2,71
2,68
2,85
2,65
2,70
1,62
1,55
2,63
2,97
2,81
2,67
1,55
2,94
1,25
1,50
2,52
1,31
1,34
2,100
1,38
1,60
2,81
1,44
1,44
2,80
1,57
2,65
2,73
1,21
1,29
2,51
1,51
1,45
2,82
2,67
2,54
2,89
1,32
2,67
2,92
1,59
2,90
1,70
2,74
2,91
2,74
1,23
2,80
1,35
2,85
1,23
1,62
2,53
2,56
2,71
2,76
2,86
2,61
2,76
2,72
2,55
1,46
2,51
1,68
2,86
1,55
1,24
2,91
2,99
1,28
1,20
1,70
1,49
2,65
2,72
1,36
2,52
2,93
1,53
1,52
1,36
2,89
2,90
2,57
2,99
1,57
1,33
2,69
1,20
1,59
1,33
1,59
2,84
1,29
1,41
2,52
1,27
1,45
2,52
2,92
1,46
2,54
2,82
2,75
2,86
2,56
1,56
2,64
1,40
1,23
2,73
1,63
1,51
1,24
2,61
1,32
2,84
1,64
2,63
2,81
2,55
1,40
1,69
1,43
2,88
1,35
1,59
2,99
1,57
1,57
1,61
2,91
1,51
2,94
2,63
1,36
1,27
1,70
1,66
1,41
1,64
1,37
1,60
1,47
1,22
2,56
1,57
2,63
2,89
1,35
2,59
2,74
1,44
1,55
2,60
1,21
1,65
2,74
2,93
2,92
2,51
2,85
2,53
1,48
2,71
2,69
2,92
1,35
2,64
1,34
1,38
2,84
2,79
1,30
2,75
2,91
1,42
1,63
1,54
1,46
2,79
2,78
1,67
1,48
1,61
1,59
1,49
2,99
2,55
2,86
1,36
2,75
1,69
1,34
1,32
2,86
2,50
1,45
2,54
1,23
1,52
2,81
2,94
1,26
2,100
1,45
2,56
1,55
2,52
1,65
1,53
1,37
1,56
2,57
2,89
2,56
2,57
2,100
2,65
2,79
2,69
2,82
1,44
2,79
2,77
1,26
1,50
1,20
2,88
1,30
1,42
2,58
1,41
2,57
2,65
1,40
1,40
2,86
1,26
1,51
1,46
1,47
2,88
2,75
1,25
1,58
1,62
2,82
2,87
2,91
1,49
2,55
2,83
2,99
1,62
1,69
1,53
1,48
2,52
1,27
1,36
2,67
1,32
1,52
2,98
1,64
2,91
1,39
2,67
1,40
2,53
1,40
1,69
2,59
1,56
2,95
1,45
2,83
2,60
1,64
1,26
1,34
1,46
1,43
1,21
1,50
1,64
2,78
1,67
1,39
2,89
1,57
2,88
1,70
2,92
2,89
1,44
1,52
1,24
1,34
1,43
2,89
1,35
1,49
1,20
1,29
1,32
1,55
1,54
1,57
1,59
1,20
1,41
2,71
2,84
1,42
2,78
1,46
1,32
2,77
2,81
1,44
2,87
2,76
2,87
2,50
1,66
2,65
1,36
2,96
1,23
1,51
2,52
1,43
2,82
1,56
2,78
2,93
2,100
1,21
2,65
2,71
2,52
2,51
1,69
2,92
1,60
2,58
2,70
2,89
1,47
1,55
1,68
2,66
2,64
2,73
1,64
1,68
1,35
2,57
1,50
2,70
1,65
2,57
1,49
1,44
2,82
1,59
1,49
2,58
2,89
1,43
1,60
1,54
1,35
2,66
2,55
1,23
2,53
1,57
2,68
1,37
1,41
1,60
2,51
1,22
2,65
1,62
2,77
2,81
1,43
1,46
1,50
1,36
2,50
1,52
1,40
2,63
2,50
1,30
1,61
2,92
2,71
2,75
1,21
1,63
2,59
1,23
2,99
1,25
2,60
2,62
2,68
2,78
2,64
2,95
2,89
1,45
2,79
2,81
2,79
2,78
1,22
2,81
1,62
1,67
2,95
2,93
2,61
2,86
2,65
1,65
1,66
1,33
1,67
1,42
1,21
2,65
2,84
1,25
2,62
1,70
2,71
1,55
1,46
2,61
1,30
1,53
2,78
2,75
1,63
1,68
2,91
2,65
1,20
1,27
2,81
2,99
1,50
1,60
2,50
1,25
1,44
2,87
1,66
1,64
2,68
1,38
2,73
2,93
2,79
2,87
2,75
1,28
1,31
2,85
1,27
1,20
1,70
1,41
2,54
1,43
1,44
2,75
1,41
2,74
1,20
1,41
1,60
1,42
1,21
1,41
1,36
2,52
1,30
2,65
2,53
2,82
2,88
1,20
2,54
2,68
2,81
2,56
2,95
2,81
1,44
2,81
2,90
1,32
2,84
1,66
2,81
1,36
2,54
2,64
1,29
1,51
1,42
1,68
1,60
1,47
2,52
2,55
1,52
1,23
2,73
